¹Ø¿¨ºÅ,²¨ÊýºÅ,µÐÈËÖÖÀàÐòºÅ,¾àÀë,µÈ´ýÊ±¼ä,ÑªÁ¿,·ÀÓù,¹¥»÷
1,1,0,-8,1,86,0,14
1,1,0,-8,2,86,0,14
1,1,0,-8,3,86,0,14
1,1,0,-8,4,86,0,14
1,2,0,8,1,86,0,14
1,2,0,8,2,86,0,14
1,2,0,8,3,86,0,14
1,2,0,8,4,86,0,14
1,3,0,-8,1,86,0,14
1,3,0,-8,2,86,0,14
1,3,0,-8,3,86,0,14
1,3,0,-8,4,86,0,14
1,4,1,8,1,86,0,14
1,4,1,9,1,86,0,14
1,4,1,8,2,86,0,14
1,4,1,9,2,86,0,14
1,5,1,-8,1,91,0,15
1,5,1,-9,1,91,0,15
1,5,1,-8,2,91,0,15
1,5,1,-9,2,91,0,15
1,6,1,8,1,91,0,15
1,6,1,9,1,91,0,15
1,6,1,8,2,91,0,15
1,6,1,9,2,91,0,15
1,7,0,-8,1,103,0,14
1,7,0,-8,2,103,0,14
1,7,1,-9,1,91,0,15
1,7,1,-9,2,91,0,15
1,8,0,8,1,103,0,14
1,8,0,8,2,103,0,14
1,8,1,9,1,91,0,15
1,8,1,9,2,91,0,15
1,9,0,-8,1,103,0,14
1,9,0,-9,1,103,0,14
1,9,0,-8,2,103,0,14
1,9,0,-9,2,103,0,14
1,9,1,8,1,91,0,15
1,9,1,8,2,91,0,15
1,10,0,8,1,103,0,14
1,10,0,9,1,103,0,14
1,10,0,8,2,103,0,14
1,10,0,9,2,103,0,14
1,10,1,-8,1,91,0,15
1,10,1,-8,2,91,0,15
2,1,0,-8,1,707,0,303
2,1,0,-9,1,707,0,303
2,1,0,-8,2,707,0,303
2,1,0,-9,2,707,0,303
2,2,1,8,1,707,0,303
2,2,1,9,1,707,0,303
2,2,1,8,2,707,0,303
2,2,1,9,2,707,0,303
2,3,0,-8,1,707,0,303
2,3,0,-9,1,707,0,303
2,3,0,-8,2,707,0,303
2,3,0,-9,2,707,0,303
2,3,1,8,1,707,0,303
2,3,1,8,2,707,0,303
2,4,0,8,1,707,0,303
2,4,0,9,1,707,0,303
2,4,0,8,2,707,0,303
2,4,0,9,2,707,0,303
2,4,1,-8,1,707,0,303
2,4,1,-8,2,707,0,303
2,5,0,-8,1,707,0,303
2,5,0,-9,1,707,0,303
2,5,0,-8,2,707,0,303
2,5,0,-9,2,707,0,303
2,5,1,8,1,707,0,303
2,5,1,8,2,707,0,303
2,6,0,8,1,848,0,315
2,6,0,9,1,848,0,315
2,6,0,8,2,848,0,315
2,6,0,9,2,848,0,315
2,6,1,-8,1,801,0,329
2,6,1,-8,2,801,0,329
2,7,0,-8,1,848,0,315
2,7,0,-9,1,848,0,315
2,7,0,-8,2,848,0,315
2,7,0,-9,2,848,0,315
2,7,1,8,1,801,0,329
2,7,1,8,2,801,0,329
2,8,0,8,1,848,0,315
2,8,0,9,1,848,0,315
2,8,0,8,2,848,0,315
2,8,0,9,2,848,0,315
2,8,1,-8,1,801,0,329
2,8,1,-8,2,801,0,329
2,9,0,-8,1,848,0,315
2,9,0,-9,1,848,0,315
2,9,0,-8,2,848,0,315
2,9,0,-9,2,848,0,315
2,9,1,8,1,801,0,329
2,9,1,8,2,801,0,329
2,10,0,8,1,848,0,315
2,10,0,9,1,848,0,315
2,10,0,8,2,848,0,315
2,10,0,9,2,848,0,315
2,10,1,-8,1,801,0,329
2,10,1,-8,2,801,0,329
2,11,0,-8,1,989,0,329
2,11,0,-9,1,989,0,329
2,11,0,8,1,989,0,329
2,11,0,9,1,989,0,329
2,11,1,-9,2,895,0,345
2,11,1,9,2,895,0,345
2,12,0,-8,1,989,0,329
2,12,0,-9,1,989,0,329
2,12,0,8,1,989,0,329
2,12,0,9,1,989,0,329
2,12,1,-9,2,895,0,345
2,12,1,9,2,895,0,345
2,13,0,-8,1,989,0,329
2,13,0,-9,1,989,0,329
2,13,0,8,1,989,0,329
2,13,0,9,1,989,0,329
2,13,1,-9,2,895,0,345
2,13,1,9,2,895,0,345
2,14,0,-8,1,989,0,329
2,14,0,-9,1,989,0,329
2,14,0,8,1,989,0,329
2,14,0,9,1,989,0,329
2,14,1,-9,2,895,0,345
2,14,1,9,2,895,0,345
2,15,0,-8,1,989,0,329
2,15,0,-9,1,989,0,329
2,15,0,8,1,989,0,329
2,15,0,9,1,989,0,329
2,15,1,-9,2,895,0,345
2,15,1,9,2,895,0,345
3,1,0,-8,1,2012,0,763
3,1,0,-9,1,2012,0,763
3,1,0,-8,2,2012,0,763
3,1,0,-9,2,2012,0,763
3,1,1,8,1,1901,0,763
3,1,1,8,2,1901,0,763
3,2,0,9,1,2012,0,763
3,2,0,8,2,2012,0,763
3,2,0,9,2,2012,0,763
3,2,1,-8,1,1901,0,763
3,2,1,-8,2,1901,0,763
3,3,0,-8,1,2012,0,763
3,3,0,-9,1,2012,0,763
3,3,0,-8,2,2012,0,763
3,3,0,-9,2,2012,0,763
3,3,1,8,1,1901,0,763
3,3,1,8,2,1901,0,763
3,4,0,8,1,2012,0,763
3,4,0,9,1,2012,0,763
3,4,0,8,2,2012,0,763
3,4,0,9,2,2012,0,763
3,4,1,-8,1,1901,0,763
3,4,1,-8,2,1901,0,763
3,5,0,-8,1,2012,0,763
3,5,0,-9,1,2012,0,763
3,5,0,-8,2,2012,0,763
3,5,0,-9,2,2012,0,763
3,5,1,8,1,1901,0,763
3,5,1,8,2,1901,0,763
3,6,0,-8,1,2348,0,794
3,6,0,-9,1,2348,0,794
3,6,0,8,1,2348,0,794
3,6,0,9,1,2348,0,794
3,6,1,-9,2,2124,0,830
3,6,1,9,2,2124,0,830
3,7,0,-8,1,2348,0,794
3,7,0,-9,1,2348,0,794
3,7,0,8,1,2348,0,794
3,7,0,9,1,2348,0,794
3,7,1,-9,2,2124,0,830
3,7,1,9,2,2124,0,830
3,8,0,-8,1,2348,0,794
3,8,0,-9,1,2348,0,794
3,8,0,8,1,2348,0,794
3,8,0,9,1,2348,0,794
3,8,1,-9,2,2124,0,830
3,8,1,9,2,2124,0,830
3,9,0,-8,1,2348,0,794
3,9,0,-9,1,2348,0,794
3,9,0,8,1,2348,0,794
3,9,0,9,1,2348,0,794
3,9,1,-9,2,2124,0,830
3,9,1,9,2,2124,0,830
3,10,0,-8,1,2348,0,794
3,10,0,-9,1,2348,0,794
3,10,0,8,1,2348,0,794
3,10,0,9,1,2348,0,794
3,10,1,-9,2,2124,0,830
3,10,1,9,2,2124,0,830
3,11,0,-8,1,2683,0,830
3,11,0,-9,1,2683,0,830
3,11,0,8,1,2683,0,830
3,11,0,9,1,2683,0,830
3,11,1,-8,3,2348,0,870
3,11,1,-9,3,2348,0,870
3,11,1,8,3,2348,0,870
3,11,1,9,3,2348,0,870
3,12,0,-8,1,2683,0,830
3,12,0,-9,1,2683,0,830
3,12,0,8,1,2683,0,830
3,12,0,9,1,2683,0,830
3,12,1,-8,3,2348,0,870
3,12,1,-9,3,2348,0,870
3,12,1,8,3,2348,0,870
3,12,1,9,3,2348,0,870
3,13,0,-8,1,2683,0,830
3,13,0,-9,1,2683,0,830
3,13,0,8,1,2683,0,830
3,13,0,9,1,2683,0,830
3,13,1,-8,3,2348,0,870
3,13,1,-9,3,2348,0,870
3,13,1,8,3,2348,0,870
3,13,1,9,3,2348,0,870
3,14,0,-8,1,2683,0,830
3,14,0,-9,1,2683,0,830
3,14,0,8,1,2683,0,830
3,14,0,9,1,2683,0,830
3,14,1,-8,3,2348,0,870
3,14,1,-9,3,2348,0,870
3,14,1,8,3,2348,0,870
3,14,1,9,3,2348,0,870
3,15,0,-8,1,2683,0,830
3,15,0,-9,1,2683,0,830
3,15,0,8,1,2683,0,830
3,15,0,9,1,2683,0,830
3,15,1,-8,3,2348,0,870
3,15,1,-9,3,2348,0,870
3,15,1,8,3,2348,0,870
3,15,1,9,3,2348,0,870
4,1,0,-8,1,6087,0,1306
4,1,0,-9,1,6087,0,1306
4,1,1,-9,2,5275,0,1306
4,1,3,-9,3,4058,0,1419
4,2,0,8,1,6087,0,1306
4,2,0,9,1,6087,0,1306
4,2,1,9,2,5275,0,1306
4,2,3,9,3,4058,0,1419
4,3,0,-8,1,6087,0,1306
