ID,名称,介绍,种类,攻击加算,攻击乘算,生命加算,生命乘算,防御加算,防御乘算,品质,图标路径
10001,试炼长剑,这看上去就像一把普通的长剑。,主武器,139,0,0,0,0,0,普通,UI/Main1.png
10002,试炼长剑碎片,试炼长剑的碎片。,装备碎片,0,0,0,0,0,0,普通,UI/Debris1.png
10003,新人长弓,新人训练所使用的长弓。,副武器,111,0,0,0,0,0,普通,UI/Alter1.png
10004,新人长弓碎片,新人长弓的碎片。,装备碎片,0,0,0,0,0,0,普通,UI/Debris2.png
10005,猎人长斧,一把制作精良的斧头。,主武器,557,0,0,0,0,0,精良,UI/Main2.png
10006,猎人长斧碎片,猎人长斧的碎片。,装备碎片,0,0,0,0,0,0,精良,UI/Debris3.png
10007,射手弓弩,制作精良的弓弩。,副武器,446,0,0,0,0,0,精良,UI/Alter2.png
10008,射手弓弩碎片,射手弓弩的碎片。,装备碎片,0,0,0,0,0,0,精良,UI/Debris4.png
10009,骑士长矛,非常稀有的矛！,主武器,2230,0,0,0,0,0,稀有,UI/Main3.png
10010,骑士长矛碎片,骑士长矛的碎片。,装备碎片,0,0,0,0,0,0,稀有,UI/Debris5.png
10011,魔法权杖,魔法师们使用的法杖！,副武器,1784,0,0,0,0,0,稀有,UI/Alter3.png
10012,魔法权杖碎片,魔法权杖的碎片。,装备碎片,0,0,0,0,0,0,稀有,UI/Debris6.png
10013,传说之剑,传说中最为珍贵的宝剑！,主武器,8920,0,0,0,0,0,史诗,UI/Main4.png
10014,传说之剑碎片,传说之剑的碎片。,装备碎片,0,0,0,0,0,0,史诗,UI/Debris7.png
10015,天使之杖,天使们使用的法杖！,副武器,7136,0,0,0,0,0,史诗,UI/Alter4.png
10016,天使之杖碎片,天使之杖的碎片。,装备碎片,0,0,0,0,0,0,史诗,UI/Debris8.png
10017,布甲,破旧布片制作而成的护甲。,护甲,0,0,0,0,27,0,普通,UI/Cui1.png
10018,布甲碎片,布甲的碎片。,装备碎片,0,0,0,0,0,0,普通,UI/Debris9.png
10019,钢甲,看起来比铁甲更坚固啊！,护甲,0,0,0,0,111,0,精良,UI/Cui2.png
10020,钢甲碎片,钢甲的碎片。,装备碎片,0,0,0,0,0,0,精良,UI/Debris10.png
10021,精灵护甲,传闻中精灵打造的护甲。,护甲,0,0,0,0,445,0,稀有,UI/Cui3.png
10022,精灵护甲碎片,精灵护甲的碎片。,装备碎片,0,0,0,0,0,0,稀有,UI/Debris11.png
10023,信仰长袍,汇聚了信仰之力的长袍。,护甲,0,0,0,0,1780,0,史诗,UI/Cui4.png
10024,信仰长袍碎片,信仰长袍的碎片。,装备碎片,0,0,0,0,0,0,史诗,UI/Debris12.png
10025,破旧头盔,很老旧的头盔，不知道有什么用。,头盔,0,0,558,0,0,0,普通,UI/Helm1.png
10026,破旧头盔碎片,破旧头盔的碎片。,装备碎片,0,0,0,0,0,0,普通,UI/Debris13.png
10027,钢头盔,钢钢的头盔。,头盔,0,0,2232,0,0,0,精良,UI/Helm2.png
10028,钢头盔碎片,钢头盔的碎片。,装备碎片,0,0,0,0,0,0,精良,UI/Debris14.png
10029,精灵头盔,传闻中精灵打造的头盔。,头盔,0,0,8930,0,0,0,稀有,UI/Helm3.png
10030,精灵头盔碎片,精灵头盔的碎片。,装备碎片,0,0,0,0,0,0,稀有,UI/Debris15.png
10031,信仰头盔,汇聚了信仰之力的头盔。,头盔,0,0,35722,0,0,0,史诗,UI/Helm4.png
10032,信仰头盔碎片,信仰头盔的碎片。,装备碎片,0,0,0,0,0,0,史诗,UI/Debris16.png
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
